state_abbr,state_name,population,total_crime_committed,ranking
AK,Alaska,406000,2444662.0,49.0
AL,Alabama,3769000,16171160.0,27.0
AR,Arkansas,2180000,9557842.0,33.0
AZ,Arizona,2450000,23274193.0,22.0
CA,California,22696000,130872545.0,2.0
CO,Colorado,2772000,16545123.0,21.0
CT,Connecticut,3115000,10505694.0,23.0
DC,District of Columbia,656000,4232431.0,40.0
DE,Delaware,582000,2947590.0,46.0
FL,Florida,8860000,74355799.0,5.0
GA,Georgia,5118000,32444989.0,12.0
HI,Hawaii,915000,5225900.0,37.0
IA,Iowa,2903000,8451314.0,30.0
ID,Idaho,905000,3374251.0,45.0
IL,Illinois,11230000,44808546.0,6.0
IN,Indiana,5400000,19721246.0,15.0
KS,Kansas,2369000,9740382.0,31.0
KY,Kentucky,3527000,10217219.0,32.0
LA,Louisiana,4026000,19881436.0,19.0
MA,Massachusetts,5769000,19175482.0,11.0
MD,Maryland,4149000,20526588.0,13.0
ME,Maine,1097000,3116694.0,42.0
MI,Michigan,9208000,36740929.0,7.0
MN,Minnesota,4060000,14954274.0,24.0
MO,Missouri,4868000,21029104.0,17.0
MS,Mississippi,2406000,8585239.0,36.0
MT,Montana,786000,2933821.0,47.0
NC,North Carolina,5606000,30139879.0,16.0
ND,North Dakota,657000,1493333.0,52.0
NE,Nebraska,1574000,5385496.0,38.0
NH,New Hampshire,887000,2673464.0,44.0
NJ,New Jersey,7332000,25418756.0,9.0
NM,New Mexico,1241000,8198138.0,35.0
NV,Nevada,702000,7682185.0,39.0
NY,New York,17649000,61909861.0,3.0
OH,Ohio,10731000,38814154.0,8.0
OK,Oklahoma,2892000,13850732.0,29.0
OR,Oregon,2527000,14170028.0,26.0
PA,Pennsylvania,11731000,30751888.0,10.0
RI,Rhode Island,929000,3231072.0,41.0
SC,South Carolina,2932000,17288080.0,28.0
SD,South Dakota,689000,1679555.0,51.0
TN,Tennessee,4380000,21894486.0,25.0
TX,Texas,13385000,91385578.0,4.0
UT,Utah,1367000,8369689.0,34.0
VA,Virginia,5197000,19305521.0,18.0
VT,Vermont,493000,1536157.0,48.0
WA,Washington,3926000,25648853.0,14.0
WI,Wisconsin,4720000,15210186.0,20.0
WV,West Virginia,1878000,3942470.0,43.0
WY,Wyoming,450000,1519871.0,50.0
